,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
66226,2021,18 anos,F,Parda,1,cursando,0,Pública,Itaquaquecetuba,SP,,,,,1,,,H,E,C,C,3.0,G,C,C,A,A,B,D,B,B
66497,2021,23 anos,M,Parda,1,concluiu,0,Não respondeu,Guajará-Mirim,RO,,,,,1,,,H,E,F,F,1.0,A,B,D,A,A,B,B,A,A
68116,2021,Menor de 17 anos,F,Branca,1,cursando,0,Não respondeu,Guanambi,BA,,,,,0,,,F,E,D,D,4.0,I,E,D,C,A,B,E,D,B
69137,2021,18 anos,F,Branca,1,cursando,0,Pública,Santo Antônio de Jesus,BA,,,,,0,,,D,E,C,C,3.0,D,C,D,B,B,B,D,B,B
69332,2021,17 anos,F,Parda,1,cursando,0,Não respondeu,Campos dos Goytacazes,RJ,,,,,1,,,F,E,D,B,3.0,C,B,C,A,A,B,C,B,B
70722,2021,17 anos,F,Parda,1,cursando,0,Não respondeu,Curvelo,MG,,,,,0,,,B,F,C,D,3.0,D,B,D,A,A,B,D,B,B
71149,2021,Entre 26 e 30 anos,M,Branca,1,concluiu,12,Não respondeu,Belo Horizonte,MG,,,,,1,,,C,C,D,D,3.0,D,C,D,B,A,B,C,B,B
72292,2021,17 anos,M,Branca,1,cursando,0,Pública,Miracema do Tocantins,TO,,,,,0,,,D,D,B,B,3.0,D,B,D,C,B,C,D,A,B
72893,2021,19 anos,F,Branca,1,concluiu,1,Não respondeu,Salvador,BA,406.4,,,670.3,0,,,G,G,E,E,3.0,Q,E,E,C,A,B,E,C,B
74776,2021,20 anos,F,Amarela,1,cursando,0,Privada,Pesqueira,PE,,,,,0,,,F,E,F,F,4.0,E,C,D,A,A,B,D,B,B
74854,2021,18 anos,F,Preta,1,cursando,0,Não respondeu,Lauro de Freitas,BA,474.2,,,372.8,0,,,D,F,B,D,4.0,B,C,D,B,A,B,D,A,B
78888,2021,21 anos,M,Parda,1,concluiu,1,Não respondeu,Natal,RN,,,,,1,,,E,E,B,C,4.0,C,B,C,A,A,B,C,A,B
78992,2021,17 anos,F,Parda,1,cursando,0,Pública,Fortaleza,CE,,,,,1,,,B,B,B,B,2.0,B,B,C,A,A,B,B,A,B
79144,2021,17 anos,M,Parda,1,cursando,0,Pública,Feira de Santana,BA,,,,,0,,,E,E,D,C,4.0,E,D,E,B,A,B,D,C,B
81617,2021,18 anos,F,Branca,1,cursando,0,Pública,Jaguaretama,CE,,,,,1,,,A,A,A,A,3.0,A,B,C,A,A,B,C,A,B
81900,2021,18 anos,F,Parda,1,concluiu,1,Não respondeu,Cerquilho,SP,,,,,1,,,C,D,A,A,5.0,B,B,C,A,A,B,B,A,B
83456,2021,17 anos,M,Preta,1,cursando,0,Pública,Sobral,CE,,,,,0,,,E,E,F,B,4.0,B,B,C,A,A,B,C,A,B
83793,2021,17 anos,F,Amarela,1,cursando,0,Pública,Ibiporã,PR,,,,,1,,,D,E,C,D,4.0,G,B,D,B,A,B,A,A,B
84351,2021,18 anos,F,Parda,1,cursando,0,Pública,Jussara,GO,,,,,0,,,H,D,A,B,2.0,C,B,C,A,A,B,B,A,A
85062,2021,20 anos,M,Preta,1,concluiu,2,Não respondeu,Pau dos Ferros,RN,,,,,1,,,F,E,A,B,3.0,E,B,C,B,A,B,D,B,B
85321,2021,17 anos,F,Branca,1,cursando,0,Pública,Mongaguá,SP,,,,,1,,,C,F,D,D,4.0,C,B,C,B,A,B,E,B,B
85684,2021,23 anos,F,Parda,1,concluiu,7,Não respondeu,Ariquemes,RO,,,,,1,,,H,B,F,B,5.0,E,B,D,A,B,C,A,B,B
86903,2021,18 anos,F,Não declarado,1,concluiu,1,Não respondeu,Pedro Afonso,TO,,,,,1,,,E,E,B,B,3.0,C,B,C,A,B,B,B,A,B
87502,2021,24 anos,F,Branca,1,cursando,0,Pública,Divinópolis,MG,,,,,0,,,H,E,F,B,4.0,B,B,D,A,A,B,D,A,A
88030,2021,18 anos,M,Preta,1,cursando,0,Pública,Carazinho,RS,,,,,1,,,E,E,C,B,4.0,J,C,D,C,A,B,D,A,B
88611,2021,18 anos,F,Parda,1,cursando,0,Pública,Cascavel,CE,,,,,0,,,B,B,F,B,3.0,B,B,C,B,A,B,D,A,B
88717,2021,19 anos,F,Parda,1,concluiu,2,Não respondeu,Carira,SE,,,,,1,,,B,C,A,A,5.0,B,B,C,A,A,B,B,A,B
89783,2021,18 anos,F,Branca,1,cursando,0,Pública,Divinópolis,MG,,,,,0,,,E,H,B,B,4.0,D,B,D,C,A,B,D,B,B
90297,2021,18 anos,F,Preta,1,cursando,0,Não respondeu,Conceição do Jacuípe,BA,,,,,0,,,E,E,C,B,3.0,B,B,C,A,B,B,D,A,B
90376,2021,19 anos,F,Preta,1,concluiu,1,Não respondeu,Aracaju,SE,,,,,1,,,A,D,C,C,5.0,B,B,C,A,A,B,B,A,B
91074,2021,18 anos,F,Branca,1,cursando,0,Pública,Januária,MG,591.8,,,390.6,0,,,C,D,D,D,4.0,H,B,C,B,A,B,C,B,B
