,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Estudo_Pai,Estudo_Mãe,Profissão_Pai,Profissão_Mãe,QT_Pessoas_Moradia,Renda_Familiar,QT_Banheiros,QT_Quartos,QT_Carros,QT_Motos,QT_Geladeira,QT_Celular,QT_Computador,Acesso_Internet
1293420,2020,18 anos,F,Parda,1,cursando,Pública,Bebedouro,SP,,504.2,512.9,,1,1.0,540.0,C,F,C,B,5.0,C,B,C,B,A,B,E,B,B
1294721,2020,18 anos,M,Parda,1,cursando,Pública,Florianópolis,SC,,521.4,501.0,,1,1.0,520.0,F,F,E,E,3.0,J,B,C,A,A,B,D,B,B
1309094,2020,18 anos,F,Branca,1,cursando,Pública,Joinville,SC,,471.8,488.3,,0,1.0,520.0,E,D,B,C,4.0,D,B,C,B,A,B,E,A,B
1309935,2020,17 anos,F,Branca,1,cursando,Pública,São José dos Pinhais,PR,,418.1,521.9,,0,1.0,600.0,E,E,D,D,4.0,H,C,D,B,A,B,E,B,B
1315526,2020,18 anos,F,Branca,1,cursando,Pública,Rio do Sul,SC,,535.6,517.9,,0,1.0,500.0,D,E,A,A,4.0,G,B,D,A,B,B,C,A,B
1317165,2020,21 anos,M,Branca,1,concluiu,Não respondeu,Canoas,RS,,620.4,553.6,,0,1.0,600.0,E,F,D,D,4.0,G,C,D,B,A,C,E,C,B
1320579,2020,18 anos,M,Preta,1,cursando,Pública,São Sebastião,SP,,445.0,521.7,,0,1.0,520.0,E,G,D,D,4.0,G,C,D,B,A,B,E,D,B
1321764,2020,Entre 26 e 30 anos,M,Parda,1,concluiu,Não respondeu,Maceió,AL,,396.4,531.8,,1,1.0,300.0,A,B,A,A,4.0,B,B,C,A,A,B,B,B,B
1322617,2020,21 anos,F,Parda,1,concluiu,Não respondeu,Ilhéus,BA,,419.7,429.0,,1,1.0,400.0,E,E,C,B,4.0,B,B,C,A,A,B,B,A,B
1325698,2020,18 anos,F,Branca,1,concluiu,Não respondeu,Goiânia,GO,,625.7,567.9,,1,1.0,680.0,C,B,C,B,3.0,G,D,D,B,A,B,D,B,B
1326240,2020,Menor de 17 anos,F,Parda,1,cursando,Não respondeu,São Paulo,SP,,535.8,574.7,,0,1.0,560.0,C,B,C,B,2.0,B,B,B,A,A,B,C,B,B
1329441,2020,18 anos,F,Não declarado,1,concluiu,Não respondeu,Uberaba,MG,,630.7,602.5,,1,1.0,920.0,E,E,C,B,3.0,D,B,C,B,A,B,C,B,B
1330131,2020,18 anos,F,Parda,1,cursando,Pública,Manaus,AM,,482.1,461.5,,0,1.0,540.0,E,D,B,B,3.0,B,C,C,A,B,B,D,A,B
1330273,2020,17 anos,F,Branca,1,cursando,Não respondeu,Tatuí,SP,,433.2,560.8,,0,1.0,700.0,E,C,D,A,5.0,K,C,D,B,A,B,B,B,B
1337736,2020,Menor de 17 anos,M,Branca,1,cursando,Não respondeu,Brasília,DF,,622.3,547.6,,1,1.0,880.0,D,D,D,B,3.0,N,B,D,D,A,B,D,C,B
1345884,2020,Entre 26 e 30 anos,F,Branca,1,concluiu,Não respondeu,Joaçaba,SC,,619.8,427.7,,0,1.0,560.0,C,C,C,B,3.0,B,B,D,A,A,B,D,A,B
1346101,2020,Entre 31 e 35 anos,M,Parda,1,concluiu,Não respondeu,Ubá,MG,,505.8,523.1,,1,1.0,380.0,C,C,A,A,1.0,B,B,D,A,A,B,B,A,B
1348358,2020,Entre 31 e 35 anos,F,Branca,1,concluiu,Não respondeu,Pombal,PB,,436.5,617.4,,1,1.0,680.0,E,E,D,D,3.0,C,C,C,B,B,B,C,A,B
1352370,2020,18 anos,M,Branca,1,cursando,Privada,Novo Hamburgo,RS,,589.8,601.2,,0,1.0,580.0,E,E,D,F,3.0,E,C,E,A,A,C,D,C,B
1353963,2020,19 anos,M,Parda,1,concluiu,Não respondeu,Toledo,PR,,571.5,562.1,,1,4.0,0.0,H,D,C,B,3.0,D,B,C,A,A,B,D,C,B
1355628,2020,21 anos,F,Branca,1,concluiu,Não respondeu,Belo Horizonte,MG,,633.9,634.3,,0,1.0,840.0,E,F,B,D,2.0,F,B,D,B,A,B,C,B,B
1357710,2020,25 anos,M,Parda,1,concluiu,Não respondeu,Londrina,PR,,392.4,535.2,,0,1.0,580.0,E,E,B,B,2.0,B,B,C,A,B,B,C,B,B
1360149,2020,Entre 31 e 35 anos,M,Amarela,1,concluiu,Não respondeu,Tucuruí,PA,,420.4,446.2,,0,1.0,500.0,E,E,B,A,2.0,C,B,B,A,B,B,C,A,B
1362169,2020,18 anos,M,Branca,1,cursando,Pública,Paranatinga,MT,,353.6,411.1,,1,1.0,400.0,B,E,D,B,4.0,B,B,C,B,B,B,B,A,A
1370121,2020,18 anos,F,Parda,1,cursando,Pública,Ji-Paraná,RO,,432.1,503.4,,1,1.0,540.0,E,E,C,C,3.0,E,B,C,A,C,B,C,B,B
1371784,2020,19 anos,F,Parda,1,concluiu,Não respondeu,Patos de Minas,MG,,478.2,487.6,,0,1.0,360.0,B,B,A,A,4.0,A,B,C,A,A,B,B,A,B
1378722,2020,19 anos,M,Parda,1,concluiu,Não respondeu,São José do Egito,PE,,400.9,500.5,,1,1.0,580.0,H,H,C,B,5.0,B,B,C,A,C,B,D,A,B
1395289,2020,17 anos,F,Branca,1,concluiu,Não respondeu,Mossoró,RN,,668.7,599.0,,1,1.0,840.0,B,D,A,A,6.0,B,B,C,A,B,B,C,A,B
1396293,2020,17 anos,F,Branca,1,cursando,Não respondeu,Balneário Camboriú,SC,,502.7,587.9,,0,1.0,680.0,E,F,E,E,5.0,O,E,E,B,A,C,E,B,B
1398483,2020,18 anos,M,Parda,1,concluiu,Não respondeu,Goiás,GO,,541.4,467.0,,1,1.0,900.0,B,E,C,B,1.0,C,B,B,A,A,B,B,A,B
1398738,2020,17 anos,F,Branca,1,cursando,Não respondeu,São Miguel do Oeste,SC,,601.3,536.8,,0,1.0,740.0,E,B,B,C,2.0,G,B,D,B,A,B,D,B,B
1400876,2020,19 anos,M,Branca,1,concluiu,Não respondeu,Santa Maria,RS,,448.4,458.0,,1,1.0,540.0,C,C,A,A,4.0,A,B,D,B,A,B,C,B,B
1419247,2020,Entre 56 e 60 anos,M,Branca,1,concluiu,Não respondeu,São Bento do Sul,SC,,516.1,453.2,,1,1.0,340.0,B,C,A,A,4.0,C,B,C,A,A,B,D,A,B
1428113,2020,22 anos,M,Parda,1,concluiu,Não respondeu,Teotônio Vilela,AL,,477.0,504.0,,0,1.0,320.0,B,C,C,B,3.0,B,B,C,A,A,B,B,A,A
